DATE,CSUSHPISA
1987-01-01,63.967
1987-02-01,64.426
1987-03-01,64.736
1987-04-01,65.135
1987-05-01,65.569
1987-06-01,66.075
1987-07-01,66.509
1987-08-01,66.938
1987-09-01,67.331
1987-10-01,67.741
1987-11-01,68.108
1987-12-01,68.507
1988-01-01,68.859
1988-02-01,69.263
1988-03-01,69.637
1988-04-01,69.974
1988-05-01,70.424
1988-06-01,70.887
1988-07-01,71.353
1988-08-01,71.799
1988-09-01,72.239
1988-10-01,72.636
1988-11-01,73.07
1988-12-01,73.464
1989-01-01,73.945
1989-02-01,74.381
1989-03-01,74.777
1989-04-01,75.086
1989-05-01,75.309
1989-06-01,75.481
1989-07-01,75.659
1989-08-01,75.835
1989-09-01,76.057
1989-10-01,76.287
1989-11-01,76.519
1989-12-01,76.706
1990-01-01,76.897
1990-02-01,77.053
1990-03-01,77.2
1990-04-01,77.277
1990-05-01,77.297
1990-06-01,77.257
1990-07-01,77.139
1990-08-01,77.007
1990-09-01,76.849
1990-10-01,76.701
1990-11-01,76.366
1990-12-01,76.184
1991-01-01,75.914
1991-02-01,75.734
1991-03-01,75.572
1991-04-01,75.567
1991-05-01,75.766
1991-06-01,75.994
1991-07-01,76.084
1991-08-01,76.109
1991-09-01,76.196
1991-10-01,76.073
1991-11-01,76.012
1991-12-01,76.058
1992-01-01,76.09
1992-02-01,76.159
1992-03-01,76.28
1992-04-01,76.348
1992-05-01,76.402
1992-06-01,76.336
1992-07-01,76.27
1992-08-01,76.235
1992-09-01,76.243
1992-10-01,76.381
1992-11-01,76.559
1992-12-01,76.677
1993-01-01,76.788
1993-02-01,76.843
1993-03-01,76.873
1993-04-01,76.941
1993-05-01,77.04
1993-06-01,77.246
1993-07-01,77.434
1993-08-01,77.617
1993-09-01,77.798
1993-10-01,77.947
1993-11-01,78.151
1993-12-01,78.33
1994-01-01,78.596
1994-02-01,78.731
1994-03-01,78.86
1994-04-01,78.992
1994-05-01,79.225
1994-06-01,79.427
1994-07-01,79.6
1994-08-01,79.785
1994-09-01,79.923
1994-10-01,80.069
1994-11-01,80.152
1994-12-01,80.299
1995-01-01,80.43
1995-02-01,80.531
1995-03-01,80.602
1995-04-01,80.665
1995-05-01,80.709
1995-06-01,80.79
1995-07-01,80.943
1995-08-01,81.116
1995-09-01,81.312
1995-10-01,81.487
1995-11-01,81.624
1995-12-01,81.742
1996-01-01,81.839
1996-02-01,81.958
1996-03-01,82.199
1996-04-01,82.426
1996-05-01,82.615
1996-06-01,82.758
1996-07-01,82.934
1996-08-01,83.092
1996-09-01,83.262
1996-10-01,83.382
1996-11-01,83.558
1996-12-01,83.727
1997-01-01,83.96
1997-02-01,84.186
1997-03-01,84.457
1997-04-01,84.628
1997-05-01,84.866
1997-06-01,85.085
1997-07-01,85.337
1997-08-01,85.578
1997-09-01,85.855
1997-10-01,86.152
1997-11-01,86.637
1997-12-01,87.097
1998-01-01,87.621
1998-02-01,88.008
1998-03-01,88.448
1998-04-01,88.884
1998-05-01,89.369
1998-06-01,89.849
1998-07-01,90.314
1998-08-01,90.79
1998-09-01,91.264
1998-10-01,91.723
1998-11-01,92.205
1998-12-01,92.716
1999-01-01,93.214
1999-02-01,93.676
1999-03-01,94.222
1999-04-01,94.79
1999-05-01,95.35
1999-06-01,95.981
1999-07-01,96.598
1999-08-01,97.225
1999-09-01,97.869
1999-10-01,98.53
1999-11-01,99.162
1999-12-01,99.851
2000-01-01,100.552
2000-02-01,101.339
2000-03-01,102.127
2000-04-01,102.922
2000-05-01,103.677
2000-06-01,104.424
2000-07-01,105.054
2000-08-01,105.768
2000-09-01,106.537
2000-10-01,107.381
2000-11-01,108.299
2000-12-01,109.138
2001-01-01,109.846
2001-02-01,110.501
2001-03-01,111.108
2001-04-01,111.65
2001-05-01,112.162
2001-06-01,112.795
2001-07-01,113.491
2001-08-01,114.167
2001-09-01,114.81
2001-10-01,115.308
2001-11-01,115.854
2001-12-01,116.451
2002-01-01,117.143
2002-02-01,117.845
2002-03-01,118.687
2002-04-01,119.611
2002-05-01,120.724
2002-06-01,121.812
2002-07-01,122.886
2002-08-01,123.83
2002-09-01,124.778
2002-10-01,125.733
2002-11-01,126.667
2002-12-01,127.622
2003-01-01,128.46
2003-02-01,129.355
2003-03-01,130.148
2003-04-01,130.884
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.776
2003-08-01,134.967
2003-09-01,136.293
2003-10-01,137.531
2003-11-01,138.794
2003-12-01,140.18
2004-01-01,141.648
2004-02-01,143.193
2004-03-01,145.059
2004-04-01,146.592
2004-05-01,148.184
2004-06-01,149.848
2004-07-01,151.336
2004-08-01,152.632
2004-09-01,154.178
2004-10-01,155.75
2004-11-01,157.527
2004-12-01,159.329
2005-01-01,161.287
2005-02-01,163.343
2005-03-01,165.812
2005-04-01,167.501
2005-05-01,169.351
2005-06-01,171.19
2005-07-01,172.859
2005-08-01,174.442
2005-09-01,176.437
2005-10-01,178.028
2005-11-01,179.682
2005-12-01,180.911
2006-01-01,182.321
2006-02-01,183.288
2006-03-01,184.364
2006-04-01,184.33
2006-05-01,184.157
2006-06-01,183.509
2006-07-01,183.068
2006-08-01,182.596
2006-09-01,182.8
2006-10-01,183.201
2006-11-01,183.612
2006-12-01,184.141
2007-01-01,184.519
2007-02-01,184.6
2007-03-01,184.151
2007-04-01,183.011
2007-05-01,181.602
2007-06-01,180.256
2007-07-01,179.114
2007-08-01,178.12
2007-09-01,177.561
2007-10-01,176.627
2007-11-01,175.148
2007-12-01,174.342
2008-01-01,173.133
2008-02-01,171.542
2008-03-01,170.054
2008-04-01,168.338
2008-05-01,166.659
2008-06-01,165.019
2008-07-01,163.57
2008-08-01,161.991
2008-09-01,160.311
2008-10-01,158.329
2008-11-01,156.142
2008-12-01,153.618
2009-01-01,151.504
2009-02-01,150.011
2009-03-01,148.657
2009-04-01,147.947
2009-05-01,147.693
2009-06-01,148.088
2009-07-01,148.409
2009-08-01,148.275
2009-09-01,148.023
2009-10-01,147.849
2009-11-01,148.135
2009-12-01,147.929
2010-01-01,147.395
2010-02-01,145.63
2010-03-01,145.858
2010-04-01,146.401
2010-05-01,146.392
2010-06-01,145.719
2010-07-01,144.989
2010-08-01,143.912
2010-09-01,143.015
2010-10-01,142.527
2010-11-01,142.172
2010-12-01,142.064
2011-01-01,141.528
2011-02-01,140.358
2011-03-01,139.986
2011-04-01,140.011
2011-05-01,139.904
2011-06-01,139.861
2011-07-01,139.732
2011-08-01,139.309
2011-09-01,138.669
2011-10-01,137.953
2011-11-01,137.152
2011-12-01,136.674
2012-01-01,136.608
2012-02-01,136.533
2012-03-01,137.908
2012-04-01,139.16
2012-05-01,140.16
2012-06-01,141.034
2012-07-01,141.673
2012-08-01,142.282
2012-09-01,142.911
2012-10-01,143.602
2012-11-01,144.586
2012-12-01,145.502
2013-01-01,146.835
2013-02-01,147.783
2013-03-01,149.966
2013-04-01,151.525
2013-05-01,152.86
2013-06-01,154.208
2013-07-01,155.617
2013-08-01,156.98
2013-09-01,158.239
2013-10-01,159.252
2013-11-01,160.082
2013-12-01,161.001
2014-01-01,161.947
2014-02-01,162.532
2014-03-01,163.096
2014-04-01,163.406
2014-05-01,163.674
2014-06-01,164.071
2014-07-01,164.586
2014-08-01,165.225
2014-09-01,165.918
2014-10-01,166.655
2014-11-01,167.349
2014-12-01,168.066
2015-01-01,168.669
2015-02-01,169.152
2015-03-01,169.827
2015-04-01,170.325
2015-05-01,170.906
2015-06-01,171.491
2015-07-01,172.158
2015-08-01,172.963
2015-09-01,173.858
2015-10-01,174.82
2015-11-01,175.762
2015-12-01,176.556
2016-01-01,177.29
2016-02-01,177.656
2016-03-01,178.188
2016-04-01,178.808
2016-05-01,179.482
2016-06-01,180.148
2016-07-01,180.897
2016-08-01,181.911
2016-09-01,182.876
2016-10-01,183.784
2016-11-01,184.759
2016-12-01,185.688
2017-01-01,186.778
