DATE,IPB53122S
1954-01-01,0.0007
1954-02-01,0.0007
1954-03-01,0.0007
1954-04-01,0.0007
1954-05-01,0.0007
1954-06-01,0.0007
1954-07-01,0.0008
1954-08-01,0.0008
1954-09-01,0.0008
1954-10-01,0.0008
1954-11-01,0.0008
1954-12-01,0.0008
1955-01-01,0.0008
1955-02-01,0.0008
1955-03-01,0.0008
1955-04-01,0.0008
1955-05-01,0.0008
1955-06-01,0.0008
1955-07-01,0.0008
1955-08-01,0.0008
1955-09-01,0.0008
1955-10-01,0.0009
1955-11-01,0.0009
1955-12-01,0.0009
1956-01-01,0.0009
1956-02-01,0.0009
1956-03-01,0.0010
1956-04-01,0.0010
1956-05-01,0.0010
1956-06-01,0.0010
1956-07-01,0.0010
1956-08-01,0.0010
1956-09-01,0.0010
1956-10-01,0.0011
1956-11-01,0.0011
1956-12-01,0.0011
1957-01-01,0.0011
1957-02-01,0.0011
1957-03-01,0.0011
1957-04-01,0.0012
1957-05-01,0.0012
1957-06-01,0.0012
1957-07-01,0.0013
1957-08-01,0.0013
1957-09-01,0.0013
1957-10-01,0.0012
1957-11-01,0.0012
1957-12-01,0.0011
1958-01-01,0.0011
1958-02-01,0.0010
1958-03-01,0.0010
1958-04-01,0.0010
1958-05-01,0.0010
1958-06-01,0.0011
1958-07-01,0.0011
1958-08-01,0.0011
1958-09-01,0.0012
1958-10-01,0.0012
1958-11-01,0.0013
1958-12-01,0.0013
1959-01-01,0.0014
1959-02-01,0.0014
1959-03-01,0.0015
1959-04-01,0.0015
1959-05-01,0.0016
1959-06-01,0.0016
1959-07-01,0.0016
1959-08-01,0.0017
1959-09-01,0.0017
1959-10-01,0.0017
1959-11-01,0.0018
1959-12-01,0.0018
1960-01-01,0.0019
1960-02-01,0.0019
1960-03-01,0.0019
1960-04-01,0.0019
1960-05-01,0.0019
1960-06-01,0.0019
1960-07-01,0.0018
1960-08-01,0.0018
1960-09-01,0.0018
1960-10-01,0.0018
1960-11-01,0.0018
1960-12-01,0.0018
1961-01-01,0.0019
1961-02-01,0.0018
1961-03-01,0.0019
1961-04-01,0.0019
1961-05-01,0.0019
1961-06-01,0.0018
1961-07-01,0.0019
1961-08-01,0.0019
1961-09-01,0.0019
1961-10-01,0.0020
1961-11-01,0.0021
1961-12-01,0.0022
1962-01-01,0.0023
1962-02-01,0.0022
1962-03-01,0.0024
1962-04-01,0.0024
1962-05-01,0.0025
1962-06-01,0.0025
1962-07-01,0.0027
1962-08-01,0.0024
1962-09-01,0.0024
1962-10-01,0.0023
