DATE,IPG321S
1972-01-01,84.4650
1972-02-01,83.1391
1972-03-01,82.0167
1972-04-01,83.8582
1972-05-01,83.2118
1972-06-01,83.4890
1972-07-01,85.8761
1972-08-01,83.4443
1972-09-01,84.6633
1972-10-01,87.6929
1972-11-01,87.5937
1972-12-01,84.4655
1973-01-01,84.6520
1973-02-01,85.1229
1973-03-01,84.4121
1973-04-01,81.6432
1973-05-01,80.1832
1973-06-01,80.6643
1973-07-01,80.2425
1973-08-01,80.3843
1973-09-01,81.4430
1973-10-01,80.2724
1973-11-01,81.1111
1973-12-01,81.9758
1974-01-01,77.5461
1974-02-01,79.6501
1974-03-01,79.8246
1974-04-01,80.1644
1974-05-01,78.9397
1974-06-01,78.8896
1974-07-01,75.6240
1974-08-01,74.5770
1974-09-01,72.4157
1974-10-01,67.3001
1974-11-01,64.8259
1974-12-01,62.0519
1975-01-01,61.3370
1975-02-01,62.8996
1975-03-01,63.0143
1975-04-01,64.3726
1975-05-01,67.4607
1975-06-01,69.4217
1975-07-01,70.9498
1975-08-01,71.8618
1975-09-01,72.1833
1975-10-01,73.1159
1975-11-01,73.0640
1975-12-01,72.3668
1976-01-01,77.1847
1976-02-01,77.3987
1976-03-01,74.7928
1976-04-01,75.7484
1976-05-01,76.6924
1976-06-01,74.5460
1976-07-01,77.2743
1976-08-01,78.0104
1976-09-01,77.3720
1976-10-01,79.2558
1976-11-01,78.2179
1976-12-01,79.3103
1977-01-01,79.4956
1977-02-01,79.9399
1977-03-01,80.7829
1977-04-01,81.1224
1977-05-01,82.9451
1977-06-01,82.3882
1977-07-01,84.0779
1977-08-01,84.1631
1977-09-01,84.9879
1977-10-01,85.6654
1977-11-01,84.4893
1977-12-01,88.0143
1978-01-01,84.8914
1978-02-01,83.9439
1978-03-01,84.1096
1978-04-01,84.8186
1978-05-01,84.4934
1978-06-01,85.2247
1978-07-01,84.4959
1978-08-01,82.4226
1978-09-01,82.3716
1978-10-01,83.1728
1978-11-01,84.4900
1978-12-01,86.4882
1979-01-01,80.8875
1979-02-01,80.9295
1979-03-01,81.6333
1979-04-01,80.8623
1979-05-01,80.9523
1979-06-01,81.1260
1979-07-01,80.8220
1979-08-01,81.9818
1979-09-01,82.3025
1979-10-01,82.2774
1979-11-01,80.8775
1979-12-01,79.9556
1980-01-01,80.5079
1980-02-01,81.0765
1980-03-01,79.8780
1980-04-01,65.3886
1980-05-01,65.3936
1980-06-01,68.7977
1980-07-01,70.4887
1980-08-01,75.9676
1980-09-01,76.5215
1980-10-01,77.7991
1980-11-01,81.9196
1980-12-01,79.5067
1981-01-01,80.1456
1981-02-01,78.6392
1981-03-01,78.8747
1981-04-01,79.2281
1981-05-01,79.6063
1981-06-01,75.2097
1981-07-01,75.1382
1981-08-01,74.2667
1981-09-01,68.9203
1981-10-01,67.0850
1981-11-01,63.3361
1981-12-01,62.3718
1982-01-01,61.8374
1982-02-01,64.7071
1982-03-01,63.5012
1982-04-01,64.9459
1982-05-01,66.2445
1982-06-01,66.1851
1982-07-01,68.2319
1982-08-01,67.9540
1982-09-01,66.8985
1982-10-01,66.7903
1982-11-01,68.1302
1982-12-01,67.3817
1983-01-01,73.6107
1983-02-01,72.6709
1983-03-01,71.0650
1983-04-01,72.6766
1983-05-01,75.5182
1983-06-01,76.3725
1983-07-01,79.0728
1983-08-01,77.5478
1983-09-01,78.6013
1983-10-01,80.5242
1983-11-01,80.0942
1983-12-01,80.2567
1984-01-01,81.2206
1984-02-01,81.8143
1984-03-01,82.7268
1984-04-01,83.4576
1984-05-01,81.1187
1984-06-01,82.8319
1984-07-01,82.5280
1984-08-01,81.6182
1984-09-01,82.2943
1984-10-01,80.9407
1984-11-01,81.3135
1984-12-01,81.8248
1985-01-01,79.3552
1985-02-01,79.3401
1985-03-01,81.0442
1985-04-01,81.7779
1985-05-01,82.4919
1985-06-01,83.6697
1985-07-01,83.2603
1985-08-01,85.3248
1985-09-01,84.7728
1985-10-01,85.2093
1985-11-01,84.8562
1985-12-01,83.0513
1986-01-01,86.7843
1986-02-01,87.1039
1986-03-01,87.6754
1986-04-01,88.5819
1986-05-01,89.0921
1986-06-01,88.9013
1986-07-01,88.5265
1986-08-01,91.6873
1986-09-01,92.2675
1986-10-01,92.6677
1986-11-01,93.4655
1986-12-01,93.1280
1987-01-01,95.1057
1987-02-01,95.9756
1987-03-01,96.4634
1987-04-01,95.5498
1987-05-01,98.3687
1987-06-01,98.9223
1987-07-01,100.5279
1987-08-01,100.5748
1987-09-01,97.6162
1987-10-01,99.0598
1987-11-01,99.6440
1987-12-01,97.6045
1988-01-01,98.4965
1988-02-01,99.2843
1988-03-01,98.2442
1988-04-01,98.9015
1988-05-01,100.2152
1988-06-01,96.8461
1988-07-01,96.2673
1988-08-01,94.9727
1988-09-01,96.8012
1988-10-01,97.2843
1988-11-01,96.7945
1988-12-01,99.2685
1989-01-01,100.2666
1989-02-01,95.1614
1989-03-01,94.3129
1989-04-01,95.8196
1989-05-01,94.4835
1989-06-01,96.5047
1989-07-01,94.6824
1989-08-01,95.1596
1989-09-01,94.9090
1989-10-01,97.1028
1989-11-01,97.0791
1989-12-01,99.1424
1990-01-01,98.4754
1990-02-01,98.4579
1990-03-01,98.3319
1990-04-01,98.0823
1990-05-01,96.0886
1990-06-01,96.0488
1990-07-01,96.9041
1990-08-01,94.9264
1990-09-01,94.4787
1990-10-01,91.9918
1990-11-01,89.5452
1990-12-01,87.3937
1991-01-01,86.6836
1991-02-01,84.6887
1991-03-01,86.0180
1991-04-01,86.7982
1991-05-01,88.6050
1991-06-01,92.6754
1991-07-01,89.8847
1991-08-01,90.9761
1991-09-01,91.3022
1991-10-01,88.9849
1991-11-01,90.7507
1991-12-01,89.5214
1992-01-01,91.4040
1992-02-01,92.2949
1992-03-01,93.6757
1992-04-01,93.1299
1992-05-01,94.4261
1992-06-01,92.6766
1992-07-01,95.1116
1992-08-01,95.6394
1992-09-01,93.4672
1992-10-01,94.6976
1992-11-01,95.5518
1992-12-01,95.1518
1993-01-01,95.1091
1993-02-01,95.8794
1993-03-01,94.4610
1993-04-01,93.7241
1993-05-01,93.5537
1993-06-01,92.8608
1993-07-01,93.9096
1993-08-01,94.6404
1993-09-01,94.5814
1993-10-01,96.8298
1993-11-01,96.6414
1993-12-01,97.6561
1994-01-01,99.6030
1994-02-01,96.9932
1994-03-01,97.0121
1994-04-01,97.9933
1994-05-01,99.9221
1994-06-01,100.5992
1994-07-01,101.3142
1994-08-01,100.3981
1994-09-01,102.1596
1994-10-01,103.1301
1994-11-01,101.8770
1994-12-01,107.4057
1995-01-01,105.7806
1995-02-01,102.9486
1995-03-01,100.8597
1995-04-01,102.2988
1995-05-01,99.9360
1995-06-01,100.4973
1995-07-01,102.1434
1995-08-01,102.7743
1995-09-01,105.2178
1995-10-01,105.1958
1995-11-01,103.4871
1995-12-01,107.1974
1996-01-01,102.2300
1996-02-01,102.8495
1996-03-01,105.4994
1996-04-01,106.3880
1996-05-01,106.8833
1996-06-01,108.0624
1996-07-01,106.4419
1996-08-01,109.0242
1996-09-01,108.5117
1996-10-01,107.8742
1996-11-01,108.7609
1996-12-01,105.9476
1997-01-01,105.8542
1997-02-01,107.8957
1997-03-01,109.0684
1997-04-01,108.6288
1997-05-01,109.0537
1997-06-01,110.0147
1997-07-01,109.9724
1997-08-01,109.9530
1997-09-01,109.8194
1997-10-01,109.9861
1997-11-01,111.2026
1997-12-01,111.4317
1998-01-01,112.7383
1998-02-01,113.8099
1998-03-01,113.1654
1998-04-01,114.3635
1998-05-01,113.1646
1998-06-01,111.9612
1998-07-01,113.4697
1998-08-01,114.2249
1998-09-01,113.4444
1998-10-01,115.2676
1998-11-01,116.2272
1998-12-01,118.8999
1999-01-01,117.5430
1999-02-01,118.2744
1999-03-01,116.7538
1999-04-01,117.6791
1999-05-01,119.3113
1999-06-01,118.7958
1999-07-01,118.9961
1999-08-01,117.2600
1999-09-01,116.8671
1999-10-01,118.7977
1999-11-01,119.6749
1999-12-01,121.2938
2000-01-01,121.6639
2000-02-01,121.2380
2000-03-01,121.6561
2000-04-01,120.9903
2000-05-01,119.2013
2000-06-01,117.0633
2000-07-01,116.3594
2000-08-01,114.3041
2000-09-01,115.3168
2000-10-01,112.9772
2000-11-01,112.5676
2000-12-01,109.1048
2001-01-01,106.8369
2001-02-01,106.1880
2001-03-01,108.2645
2001-04-01,108.6528
2001-05-01,109.7071
2001-06-01,110.6185
2001-07-01,109.5947
2001-08-01,111.4504
2001-09-01,112.2233
2001-10-01,109.4660
2001-11-01,110.2056
2001-12-01,111.6101
2002-01-01,112.9141
2002-02-01,112.2224
2002-03-01,114.9200
2002-04-01,114.7759
2002-05-01,114.6118
2002-06-01,116.0483
2002-07-01,114.6967
2002-08-01,115.2187
2002-09-01,114.6532
2002-10-01,114.7521
2002-11-01,113.3727
2002-12-01,112.6445
2003-01-01,113.5844
2003-02-01,113.4994
2003-03-01,111.9434
2003-04-01,112.2429
2003-05-01,111.9731
2003-06-01,113.0471
2003-07-01,114.2742
2003-08-01,113.5329
2003-09-01,114.1127
2003-10-01,115.7199
2003-11-01,118.6028
2003-12-01,116.0835
2004-01-01,116.5983
2004-02-01,116.6382
2004-03-01,115.7581
2004-04-01,117.0931
2004-05-01,117.3880
2004-06-01,115.3436
2004-07-01,117.1887
2004-08-01,117.4740
2004-09-01,115.1525
2004-10-01,118.7710
2004-11-01,118.5208
2004-12-01,118.1768
2005-01-01,123.3842
2005-02-01,120.5925
2005-03-01,120.1084
2005-04-01,120.4598
2005-05-01,120.9702
2005-06-01,121.1376
2005-07-01,122.0654
2005-08-01,121.7880
2005-09-01,126.3944
2005-10-01,132.5448
2005-11-01,134.1265
2005-12-01,134.0817
2006-01-01,134.2763
2006-02-01,131.7558
2006-03-01,131.1296
2006-04-01,128.7692
2006-05-01,128.0363
2006-06-01,126.1162
2006-07-01,126.4795
2006-08-01,124.3724
2006-09-01,123.3072
2006-10-01,117.7687
2006-11-01,117.3355
2006-12-01,120.5920
2007-01-01,118.1456
2007-02-01,117.8958
2007-03-01,119.5698
2007-04-01,117.9967
2007-05-01,118.8132
2007-06-01,120.3140
2007-07-01,120.3255
2007-08-01,118.1511
2007-09-01,117.3895
2007-10-01,115.4993
2007-11-01,114.0212
2007-12-01,114.2470
2008-01-01,111.6484
2008-02-01,109.2155
2008-03-01,107.8388
2008-04-01,105.5897
2008-05-01,104.2103
2008-06-01,103.4909
2008-07-01,102.9847
2008-08-01,100.6748
2008-09-01,97.6825
2008-10-01,92.5026
2008-11-01,89.5500
2008-12-01,81.0400
2009-01-01,78.4395
2009-02-01,78.3058
2009-03-01,75.5727
2009-04-01,74.2941
2009-05-01,73.7101
2009-06-01,76.5987
2009-07-01,76.6451
2009-08-01,77.8579
2009-09-01,78.3929
2009-10-01,76.9711
2009-11-01,77.7456
2009-12-01,77.3262
2010-01-01,79.0531
2010-02-01,77.9805
2010-03-01,78.9710
2010-04-01,82.1432
2010-05-01,83.1110
2010-06-01,80.5449
2010-07-01,79.7270
2010-08-01,78.8137
2010-09-01,77.8369
2010-10-01,78.5649
2010-11-01,78.7463
2010-12-01,79.1381
2011-01-01,78.7831
2011-02-01,78.6411
2011-03-01,80.6511
2011-04-01,78.8479
2011-05-01,80.0540
2011-06-01,79.0015
2011-07-01,79.2147
2011-08-01,78.4420
2011-09-01,80.8591
2011-10-01,80.3817
2011-11-01,80.4363
2011-12-01,81.2869
2012-01-01,82.7795
2012-02-01,82.1494
2012-03-01,82.7065
2012-04-01,84.1180
2012-05-01,85.5338
2012-06-01,84.0688
2012-07-01,84.3461
2012-08-01,84.6414
2012-09-01,83.8917
2012-10-01,85.1264
2012-11-01,87.4120
2012-12-01,87.6122
2013-01-01,88.0749
2013-02-01,90.2065
2013-03-01,89.2389
2013-04-01,87.8690
2013-05-01,88.3468
2013-06-01,88.7588
2013-07-01,88.0848
2013-08-01,89.4815
2013-09-01,91.1763
2013-10-01,90.5835
2013-11-01,91.5022
2013-12-01,89.6511
2014-01-01,87.1015
2014-02-01,87.6537
2014-03-01,89.3097
2014-04-01,89.7782
2014-05-01,91.5002
2014-06-01,91.9959
2014-07-01,93.1765
2014-08-01,93.8206
2014-09-01,93.1111
2014-10-01,93.7657
2014-11-01,93.4964
2014-12-01,94.5628
2015-01-01,92.8878
2015-02-01,93.2312
2015-03-01,93.0288
2015-04-01,93.7721
2015-05-01,93.8239
2015-06-01,94.0364
2015-07-01,96.0479
2015-08-01,96.5008
2015-09-01,97.0666
2015-10-01,97.1536
2015-11-01,96.7501
2015-12-01,98.7600
2016-01-01,98.6499
2016-02-01,97.8913
2016-03-01,98.3412
2016-04-01,98.6963
2016-05-01,98.1709
2016-06-01,98.8534
2016-07-01,98.2698
2016-08-01,97.9863
2016-09-01,98.0097
2016-10-01,98.8969
2016-11-01,102.0289
2016-12-01,100.0259
2017-01-01,100.2827
2017-02-01,100.4956
2017-03-01,100.0807
2017-04-01,99.3957
2017-05-01,99.0250
2017-06-01,98.0311
2017-07-01,99.4165
2017-08-01,99.4098
2017-09-01,100.5440
2017-10-01,100.4486
2017-11-01,101.8229
2017-12-01,101.0474
2018-01-01,100.4063
2018-02-01,101.9336
2018-03-01,102.2520
