DATE,IPN3311A2RS
1972-01-01,125.6082
1972-02-01,132.6042
1972-03-01,144.7096
1972-04-01,148.4835
1972-05-01,150.5112
1972-06-01,147.2319
1972-07-01,141.3664
1972-08-01,148.8371
1972-09-01,149.5433
1972-10-01,151.2779
1972-11-01,156.0720
1972-12-01,165.5992
1973-01-01,164.1859
1973-02-01,168.0109
1973-03-01,166.2032
1973-04-01,168.6972
1973-05-01,171.0655
1973-06-01,173.8740
1973-07-01,174.1803
1973-08-01,176.0341
1973-09-01,179.7824
1973-10-01,180.5504
1973-11-01,188.6263
1973-12-01,198.6441
1974-01-01,189.8867
1974-02-01,187.5154
1974-03-01,186.9766
1974-04-01,187.7373
1974-05-01,192.0798
1974-06-01,192.9636
1974-07-01,198.5065
1974-08-01,192.3146
1974-09-01,194.2870
1974-10-01,195.8360
1974-11-01,187.3988
1974-12-01,177.4912
1975-01-01,175.5309
1975-02-01,174.9394
1975-03-01,168.6268
1975-04-01,148.8705
1975-05-01,136.9076
1975-06-01,123.9174
1975-07-01,123.0928
1975-08-01,124.7479
1975-09-01,132.4802
1975-10-01,126.5660
1975-11-01,126.0485
1975-12-01,128.6364
1976-01-01,135.0347
1976-02-01,138.7701
1976-03-01,141.9080
1976-04-01,146.4463
1976-05-01,149.0491
1976-06-01,150.7159
1976-07-01,153.5578
1976-08-01,151.0005
1976-09-01,146.2122
1976-10-01,137.1649
1976-11-01,136.8303
1976-12-01,135.2505
1977-01-01,128.4869
1977-02-01,134.0100
1977-03-01,146.4350
1977-04-01,149.5114
1977-05-01,157.8215
1977-06-01,155.0373
1977-07-01,146.3126
1977-08-01,147.8589
1977-09-01,146.9885
1977-10-01,146.5504
1977-11-01,146.0589
1977-12-01,148.8360
1978-01-01,147.1359
1978-02-01,144.7448
1978-03-01,143.3086
1978-04-01,150.4205
1978-05-01,158.7221
1978-06-01,158.0907
1978-07-01,159.8257
1978-08-01,163.1388
1978-09-01,166.6479
1978-10-01,168.7861
1978-11-01,173.7877
1978-12-01,171.8483
1979-01-01,157.2986
1979-02-01,158.4156
1979-03-01,161.5193
1979-04-01,162.7551
1979-05-01,168.3798
1979-06-01,173.2481
1979-07-01,175.3032
1979-08-01,170.0975
1979-09-01,164.3668
1979-10-01,160.8807
1979-11-01,158.0492
1979-12-01,153.3140
1980-01-01,160.2237
1980-02-01,159.1136
1980-03-01,156.5008
1980-04-01,154.3566
1980-05-01,131.1777
1980-06-01,115.7758
1980-07-01,108.4741
1980-08-01,112.0392
1980-09-01,127.8416
1980-10-01,145.6733
1980-11-01,163.5745
1980-12-01,156.3623
1981-01-01,155.5755
1981-02-01,155.2044
1981-03-01,152.8367
1981-04-01,154.2000
1981-05-01,154.9879
1981-06-01,149.4861
1981-07-01,151.5012
1981-08-01,149.4349
1981-09-01,148.9579
1981-10-01,134.1633
1981-11-01,131.3044
1981-12-01,122.0688
1982-01-01,118.7862
1982-02-01,113.8647
1982-03-01,107.8150
1982-04-01,99.0478
1982-05-01,90.8825
1982-06-01,86.7315
1982-07-01,82.8235
1982-08-01,79.0637
1982-09-01,76.6677
1982-10-01,71.3883
1982-11-01,67.4967
1982-12-01,61.3532
1983-01-01,72.0118
1983-02-01,74.8755
1983-03-01,79.9729
1983-04-01,81.5793
1983-05-01,85.2403
1983-06-01,85.5614
1983-07-01,86.2393
1983-08-01,89.1928
1983-09-01,90.5770
1983-10-01,94.4997
1983-11-01,97.5249
1983-12-01,99.8999
1984-01-01,96.6595
1984-02-01,99.7438
1984-03-01,99.7830
1984-04-01,102.8796
1984-05-01,107.8479
1984-06-01,100.4382
1984-07-01,95.7952
1984-08-01,90.7267
1984-09-01,87.1013
1984-10-01,87.0049
1984-11-01,85.4145
1984-12-01,77.5145
1985-01-01,85.0086
1985-02-01,86.1874
1985-03-01,88.7888
1985-04-01,85.4157
1985-05-01,85.9426
1985-06-01,85.0180
1985-07-01,84.1628
1985-08-01,85.7846
1985-09-01,85.6836
1985-10-01,85.8769
1985-11-01,86.1815
1985-12-01,81.2519
1986-01-01,90.1063
1986-02-01,88.8505
1986-03-01,86.9236
1986-04-01,86.2052
1986-05-01,83.1877
1986-06-01,81.3865
1986-07-01,80.2840
1986-08-01,73.1855
1986-09-01,73.1602
1986-10-01,76.5337
1986-11-01,77.3030
1986-12-01,76.4348
1987-01-01,77.6298
1987-02-01,79.4326
1987-03-01,84.4009
1987-04-01,88.7814
1987-05-01,90.7212
1987-06-01,94.1342
1987-07-01,95.3838
1987-08-01,99.1612
1987-09-01,104.6436
1987-10-01,104.8677
1987-11-01,108.2158
1987-12-01,109.7799
1988-01-01,106.5169
1988-02-01,106.4366
1988-03-01,107.4093
1988-04-01,105.8592
1988-05-01,111.3185
1988-06-01,107.7942
1988-07-01,113.4957
1988-08-01,111.2088
1988-09-01,113.8644
1988-10-01,107.2481
1988-11-01,107.1839
1988-12-01,107.9641
1989-01-01,109.8659
1989-02-01,108.8187
1989-03-01,108.5551
1989-04-01,106.0868
1989-05-01,103.0957
1989-06-01,103.7066
1989-07-01,99.5173
1989-08-01,98.2370
1989-09-01,95.8151
1989-10-01,97.8999
1989-11-01,94.3031
1989-12-01,93.2254
1990-01-01,97.0632
1990-02-01,98.4761
1990-03-01,99.4242
1990-04-01,99.7574
1990-05-01,102.2260
1990-06-01,103.2866
1990-07-01,101.3369
1990-08-01,107.1139
1990-09-01,102.8620
1990-10-01,102.9889
1990-11-01,102.5146
1990-12-01,96.2003
1991-01-01,93.3678
1991-02-01,89.3143
1991-03-01,87.0829
1991-04-01,87.2609
1991-05-01,86.2897
1991-06-01,88.3913
1991-07-01,92.8920
1991-08-01,94.1438
1991-09-01,94.8387
1991-10-01,94.0693
1991-11-01,94.0557
1991-12-01,94.5741
1992-01-01,94.0273
1992-02-01,94.9381
1992-03-01,96.4482
1992-04-01,98.3624
1992-05-01,96.8802
1992-06-01,96.0189
1992-07-01,95.4123
1992-08-01,93.4946
1992-09-01,93.2637
1992-10-01,93.7623
1992-11-01,94.7609
1992-12-01,94.9543
1993-01-01,95.6089
1993-02-01,96.7539
1993-03-01,94.9981
1993-04-01,95.6200
1993-05-01,97.7927
1993-06-01,98.6799
1993-07-01,99.9005
1993-08-01,98.9453
1993-09-01,98.3239
1993-10-01,100.4064
1993-11-01,98.5316
1993-12-01,101.6419
1994-01-01,96.0099
1994-02-01,99.2375
1994-03-01,99.6213
1994-04-01,100.1888
1994-05-01,101.2021
1994-06-01,101.3893
1994-07-01,101.1329
1994-08-01,102.3022
1994-09-01,104.1746
1994-10-01,104.3291
1994-11-01,106.9951
1994-12-01,111.3415
1995-01-01,107.4569
1995-02-01,108.5790
1995-03-01,107.9908
1995-04-01,106.2603
1995-05-01,104.6232
1995-06-01,104.3168
1995-07-01,104.2559
1995-08-01,105.4495
1995-09-01,109.2354
1995-10-01,104.5720
1995-11-01,108.3602
1995-12-01,107.8745
1996-01-01,106.2675
1996-02-01,105.3181
1996-03-01,106.9708
1996-04-01,105.8148
1996-05-01,106.4930
1996-06-01,109.3433
1996-07-01,107.8979
1996-08-01,107.4173
1996-09-01,106.5865
1996-10-01,106.6520
1996-11-01,104.3582
1996-12-01,107.4146
1997-01-01,105.4877
1997-02-01,105.4535
1997-03-01,106.9646
1997-04-01,106.8937
1997-05-01,106.2176
1997-06-01,106.7896
1997-07-01,107.1701
1997-08-01,107.0391
1997-09-01,110.3187
1997-10-01,111.1279
1997-11-01,115.2070
1997-12-01,115.0908
1998-01-01,117.1011
1998-02-01,117.9313
1998-03-01,115.3034
1998-04-01,116.8382
1998-05-01,115.7845
1998-06-01,111.6148
1998-07-01,112.7861
1998-08-01,115.0261
1998-09-01,108.8065
1998-10-01,106.9880
