DATE,IPUTIL
1939-01-01,3.3246
1939-02-01,3.3500
1939-03-01,3.4261
1939-04-01,3.4515
1939-05-01,3.4769
1939-06-01,3.5022
1939-07-01,3.5022
1939-08-01,3.5276
1939-09-01,3.6291
1939-10-01,3.6291
1939-11-01,3.6799
1939-12-01,3.6799
1940-01-01,3.7053
1940-02-01,3.7560
1940-03-01,3.7814
1940-04-01,3.7814
1940-05-01,3.8322
1940-06-01,3.8575
1940-07-01,3.8575
1940-08-01,3.9083
1940-09-01,3.9337
1940-10-01,3.9844
1940-11-01,4.0859
1940-12-01,4.0859
1941-01-01,4.1367
1941-02-01,4.1621
1941-03-01,4.2382
1941-04-01,4.2636
1941-05-01,4.3144
1941-06-01,4.3651
1941-07-01,4.4159
1941-08-01,4.4413
1941-09-01,4.4920
1941-10-01,4.5174
1941-11-01,4.5428
1941-12-01,4.6443
1942-01-01,4.7458
1942-02-01,4.7712
1942-03-01,4.7965
1942-04-01,4.8219
1942-05-01,4.7965
1942-06-01,4.8219
1942-07-01,4.9488
1942-08-01,4.9996
1942-09-01,5.0250
1942-10-01,5.0503
1942-11-01,5.1011
1942-12-01,5.1772
1943-01-01,5.1519
1943-02-01,5.2026
1943-03-01,5.2534
1943-04-01,5.3041
1943-05-01,5.3295
1943-06-01,5.4310
1943-07-01,5.4310
1943-08-01,5.4818
1943-09-01,5.6087
1943-10-01,5.6340
1943-11-01,5.6848
1943-12-01,5.6848
1944-01-01,5.6594
1944-02-01,5.7102
1944-03-01,5.8117
1944-04-01,5.8625
1944-05-01,5.8371
1944-06-01,5.8117
1944-07-01,5.7356
1944-08-01,5.7863
1944-09-01,5.7863
1944-10-01,5.7863
1944-11-01,5.7863
1944-12-01,5.8117
1945-01-01,5.9132
1945-02-01,5.9386
1945-03-01,5.8878
1945-04-01,5.8878
1945-05-01,5.9386
1945-06-01,5.9893
1945-07-01,5.9386
1945-08-01,5.8625
1945-09-01,5.7863
1945-10-01,5.7863
1945-11-01,5.7863
1945-12-01,5.8625
1946-01-01,5.8371
1946-02-01,5.8625
1946-03-01,5.8625
1946-04-01,5.9640
1946-05-01,5.9640
1946-06-01,5.9893
1946-07-01,6.1162
1946-08-01,6.2431
1946-09-01,6.3446
1946-10-01,6.4208
1946-11-01,6.4462
1946-12-01,6.4715
1947-01-01,6.2431
1947-02-01,6.2939
1947-03-01,6.3446
1947-04-01,6.4715
1947-05-01,6.5730
1947-06-01,6.5984
