DATE,IPUTIL,IPG321S,UNEMPLOY,IPB53122S,IPG333S,PCE,MORTGAGE30US,FPCPITOTLZGUSA,INTDSRUSM193N,INDPRO,UNRATE,IPN3311A2RS,GDP,IPB54100S,CSUSHPISA,GDI
01-01-1939,3.3246,,,,,,,,,,,,,,,
01-02-1939,3.35,,,,,,,,,,,,,,,
01-03-1939,3.4261,,,,,,,,,,,,,,,
01-04-1939,3.4515,,,,,,,,,,,,,,,
01-05-1939,3.4769,,,,,,,,,,,,,,,
01-06-1939,3.5022,,,,,,,,,,,,,,,
01-07-1939,3.5022,,,,,,,,,,,,,,,
01-08-1939,3.5276,,,,,,,,,,,,,,,
01-09-1939,3.6291,,,,,,,,,,,,,,,
01-10-1939,3.6291,,,,,,,,,,,,,,,
01-11-1939,3.6799,,,,,,,,,,,,,,,
01-12-1939,3.6799,,,,,,,,,,,,,,,
01-01-1940,3.7053,,,,,,,,,,,,,,,
01-02-1940,3.756,,,,,,,,,,,,,,,
01-03-1940,3.7814,,,,,,,,,,,,,,,
01-04-1940,3.7814,,,,,,,,,,,,,,,
01-05-1940,3.8322,,,,,,,,,,,,,,,
01-06-1940,3.8575,,,,,,,,,,,,,,,
01-07-1940,3.8575,,,,,,,,,,,,,,,
01-08-1940,3.9083,,,,,,,,,,,,,,,
01-09-1940,3.9337,,,,,,,,,,,,,,,
01-10-1940,3.9844,,,,,,,,,,,,,,,
01-11-1940,4.0859,,,,,,,,,,,,,,,
01-12-1940,4.0859,,,,,,,,,,,,,,,
01-01-1941,4.1367,,,,,,,,,,,,,,,
01-02-1941,4.1621,,,,,,,,,,,,,,,
01-03-1941,4.2382,,,,,,,,,,,,,,,
01-04-1941,4.2636,,,,,,,,,,,,,,,
01-05-1941,4.3144,,,,,,,,,,,,,,,
01-06-1941,4.3651,,,,,,,,,,,,,,,
01-07-1941,4.4159,,,,,,,,,,,,,,,
01-08-1941,4.4413,,,,,,,,,,,,,,,
01-09-1941,4.492,,,,,,,,,,,,,,,
01-10-1941,4.5174,,,,,,,,,,,,,,,
01-11-1941,4.5428,,,,,,,,,,,,,,,
01-12-1941,4.6443,,,,,,,,,,,,,,,
01-01-1942,4.7458,,,,,,,,,,,,,,,
01-02-1942,4.7712,,,,,,,,,,,,,,,
01-03-1942,4.7965,,,,,,,,,,,,,,,
01-04-1942,4.8219,,,,,,,,,,,,,,,
01-05-1942,4.7965,,,,,,,,,,,,,,,
01-06-1942,4.8219,,,,,,,,,,,,,,,
01-07-1942,4.9488,,,,,,,,,,,,,,,
01-08-1942,4.9996,,,,,,,,,,,,,,,
01-09-1942,5.025,,,,,,,,,,,,,,,
01-10-1942,5.0503,,,,,,,,,,,,,,,
01-11-1942,5.1011,,,,,,,,,,,,,,,
01-12-1942,5.1772,,,,,,,,,,,,,,,
01-01-1943,5.1519,,,,,,,,,,,,,,,
01-02-1943,5.2026,,,,,,,,,,,,,,,
01-03-1943,5.2534,,,,,,,,,,,,,,,
01-04-1943,5.3041,,,,,,,,,,,,,,,
01-05-1943,5.3295,,,,,,,,,,,,,,,
01-06-1943,5.431,,,,,,,,,,,,,,,
01-07-1943,5.431,,,,,,,,,,,,,,,
01-08-1943,5.4818,,,,,,,,,,,,,,,
01-09-1943,5.6087,,,,,,,,,,,,,,,
01-10-1943,5.634,,,,,,,,,,,,,,,
01-11-1943,5.6848,,,,,,,,,,,,,,,
01-12-1943,5.6848,,,,,,,,,,,,,,,
01-01-1944,5.6594,,,,,,,,,,,,,,,
01-02-1944,5.7102,,,,,,,,,,,,,,,
01-03-1944,5.8117,,,,,,,,,,,,,,,
01-04-1944,5.8625,,,,,,,,,,,,,,,
01-05-1944,5.8371,,,,,,,,,,,,,,,
01-06-1944,5.8117,,,,,,,,,,,,,,,
01-07-1944,5.7356,,,,,,,,,,,,,,,
01-08-1944,5.7863,,,,,,,,,,,,,,,
01-09-1944,5.7863,,,,,,,,,,,,,,,
01-10-1944,5.7863,,,,,,,,,,,,,,,
01-11-1944,5.7863,,,,,,,,,,,,,,,
01-12-1944,5.8117,,,,,,,,,,,,,,,
01-01-1945,5.9132,,,,,,,,,,,,,,,
01-02-1945,5.9386,,,,,,,,,,,,,,,
01-03-1945,5.8878,,,,,,,,,,,,,,,
01-04-1945,5.8878,,,,,,,,,,,,,,,
01-05-1945,5.9386,,,,,,,,,,,,,,,
01-06-1945,5.9893,,,,,,,,,,,,,,,
01-07-1945,5.9386,,,,,,,,,,,,,,,
01-08-1945,5.8625,,,,,,,,,,,,,,,
01-09-1945,5.7863,,,,,,,,,,,,,,,
01-10-1945,5.7863,,,,,,,,,,,,,,,
01-11-1945,5.7863,,,,,,,,,,,,,,,
01-12-1945,5.8625,,,,,,,,,,,,,,,
01-01-1946,5.8371,,,,,,,,,,,,,,,
01-02-1946,5.8625,,,,,,,,,,,,,,,
01-03-1946,5.8625,,,,,,,,,,,,,,,
01-04-1946,5.964,,,,,,,,,,,,,,,
01-05-1946,5.964,,,,,,,,,,,,,,,
01-06-1946,5.9893,,,,,,,,,,,,,,,
01-07-1946,6.1162,,,,,,,,,,,,,,,
01-08-1946,6.2431,,,,,,,,,,,,,,,
01-09-1946,6.3446,,,,,,,,,,,,,,,
01-10-1946,6.4208,,,,,,,,,,,,,,,
01-11-1946,6.4462,,,,,,,,,,,,,,,
01-12-1946,6.4715,,,,,,,,,,,,,,,
01-01-1947,6.2431,,,,,,,,,,,,,,,
01-02-1947,6.2939,,,,,,,,,,,,,,,
01-03-1947,6.3446,,,,,,,,,,,,,,,
01-04-1947,6.4715,,,,,,,,,,,,,,,
01-05-1947,6.573,,,,,,,,,,,,,,,
01-06-1947,6.5984,,,,,,,,,,,,,,,
01-07-1947,6.6492,,,,,,,,,,,,,,,
01-08-1947,6.7253,,,,,,,,,,,,,,,
01-09-1947,6.8015,,,,,,,,,,,,,,,
01-10-1947,6.8522,,,,,,,,,,,,,,,
01-11-1947,6.903,,,,,,,,,,,,,,,
01-12-1947,6.9537,,,,,,,,,,,,,,,
01-01-1948,7.0806,,,,,,,,,,,,,,,
01-02-1948,7.106,,,,,,,,,,,,,,,
01-03-1948,7.2583,,,,,,,,,,,,,,,
01-04-1948,7.2075,,,,,,,,,,,,,,,
01-05-1948,7.2583,,,,,,,,,,,,,,,
01-06-1948,7.309,,,,,,,,,,,,,,,
01-07-1948,7.4105,,,,,,,,,,,,,,,
01-08-1948,7.4613,,,,,,,,,,,,,,,
01-09-1948,7.5628,,,,,,,,,,,,,,,
01-10-1948,7.639,,,,,,,,,,,,,,,
01-11-1948,7.7151,,,,,,,,,,,,,,,
01-12-1948,7.7151,,,,,,,,,,,,,,,
01-01-1949,7.6643,,,,,,,,,,,,,,,
01-02-1949,7.6897,,,,,,,,,,,,,,,
01-03-1949,7.6897,,,,,,,,,,,,,,,
01-04-1949,7.7151,,,,,,,,,,,,,,,
01-05-1949,7.7151,,,,,,,,,,,,,,,
01-06-1949,7.8166,,,,,,,,,,,,,,,
01-07-1949,7.9181,,,,,,,,,,,,,,,
01-08-1949,7.9943,,,,,,,,,,,,,,,
01-09-1949,7.9943,,,,,,,,,,,,,,,
01-10-1949,8.0196,,,,,,,,,,,,,,,
01-11-1949,8.1465,,,,,,,,,,,,,,,
01-12-1949,8.2988,,,,,,,,,,,,,,,
01-01-1950,8.4003,,,,,,,,,,,,,,,
01-02-1950,8.4764,,,,,,,,,,,,,,,
01-03-1950,8.6287,,,,,,,,,,,,,,,
01-04-1950,8.7302,,,,,,,,,,,,,,,
01-05-1950,8.8825,,,,,,,,,,,,,,,
01-06-1950,8.9333,,,,,,,,,,,,,,,
01-07-1950,8.984,,,,,,,,,,,,,,,
01-08-1950,9.0855,,,,,,,,,,,,,,,
01-09-1950,9.1617,,,,,,,,,,,,,,,
01-10-1950,9.3647,,,,,,,,,,,,,,,
01-11-1950,9.4154,,,,,,,,,,,,,,,
01-12-1950,9.517,,,,,,,,,,,,,,,
01-01-1951,9.6692,,,,,,,,,,,,,,,
01-02-1951,9.8469,,,,,,,,,,,,,,,
01-03-1951,9.9484,,,,,,,,,,,,,,,
01-04-1951,10.1007,,,,,,,,,,,,,,,
01-05-1951,10.1514,,,,,,,,,,,,,,,
01-06-1951,10.2276,,,,,,,,,,,,,,,
01-07-1951,10.2783,,,,,,,,,,,,,,,
01-08-1951,10.3798,,,,,,,,,,,,,,,
01-09-1951,10.456,,,,,,,,,,,,,,,
01-10-1951,10.456,,,,,,,,,,,,,,,
01-11-1951,10.6082,,,,,,,,,,,,,,,
01-12-1951,10.6336,,,,,,,,,,,,,,,
01-01-1952,10.7605,,,,,,,,,,,,,,,
01-02-1952,10.8367,,,,,,,,,,,,,,,
01-03-1952,10.862,,,,,,,,,,,,,,,
01-04-1952,10.7859,,,,,,,,,,,,,,,
01-05-1952,10.8367,,,,,,,,,,,,,,,
01-06-1952,10.8874,,,,,,,,,,,,,,,
01-07-1952,10.9889,,,,,,,,,,,,,,,
01-08-1952,11.2173,,,,,,,,,,,,,,,
01-09-1952,11.395,,,,,,,,,,,,,,,
01-10-1952,11.4965,,,,,,,,,,,,,,,
01-11-1952,11.5726,,,,,,,,,,,,,,,
01-12-1952,11.6488,,,,,,,,,,,,,,,
01-01-1953,11.598,,,,,,,,,,,,,,,
